Товар(услуга),Цена,Местоположение
Друзі! Волонтери! Спонсори! Бізнесмени! Організації! Підприємства!,Бесплатно,"Днепр, Центральный - 07 июня 2022 г."
"Гуманитарный проект ""ВОЗЬМИ ЖИЛЕТ ДАРОМ""",Бесплатно,"Харьков, Индустриальный  - 09 июня 2022 г."
"Эвакуация, помощь с выездом за границу!",Бесплатно,"Львов, Железнодорожный - 09 июня 2022 г."
Патриот Украины Кепка футболка,Бесплатно,"Одесса, Малиновский - 08 июня 2022 г."
"• Современные танцы 
• Физические тренировки 
• Растяжка",Бесплатно,"Одесса, Малиновский - Сегодня в 05:57"
Тимчасове проживання (хостел),Бесплатно,Хмельницкий - 09 июня 2022 г.
"Помощь с выездом за границу, консультации, оформление, Одесса!",Бесплатно,"Одесса, Киевский - 09 июня 2022 г."
Эвакуация - автобус Харьков - Львов/Польша/Румыния/Германия/Болгария,Бесплатно,"Харьков, Немышлянский - 09 июня 2022 г."
"Эвакуация, автобус Кривой Рог - Львов/Польша/Румыния/Германия/Болгария",Бесплатно,"Кривой Рог, Долгинцевский - 09 июня 2022 г."
Эвакуация - автобус Полтава - Львов/Польша/Румыния/Германия/Болгария,Бесплатно,Полтава - 09 июня 2022 г.
"Автобус, Мелитополь, эвакуация, выезд за границу и по Украине!",Бесплатно,Мелитополь - 08 июня 2022 г.
Эвакуация - автобус Днепр - Львов/Польша/Румыния/Германия/Болгария,Бесплатно,"Днепр, Новокодакский - 09 июня 2022 г."
Соцробітник шукає пенсіонерів для обслуговування,Бесплатно,"Кривой Рог, Покровский - 08 июня 2022 г."
Куплю продукты питания довготривалого зберігання,100 грн.,Инженерный - 08 июня 2022 г.
На Ваше замовлення доставимо ліки дефіцит,Бесплатно,"Харьков, Слободской - 09 июня 2022 г."
"Психолог, Диетолог и Физиотерапевт в одном лице.",Бесплатно,"Днепр, Шевченковский - 31 мая 2022 г."
Взаимопомощь друг-другу,Бесплатно,"Одесса, Малиновский - 09 июня 2022 г."
"Автобус, Кривой Рог, эвакуация, выезд за границу и по Украине!",Бесплатно,"Кривой Рог, Центрально-Городской - 08 июня 2022 г."
"Автобус, Полтава, эвакуация, перевозки, выезд за границу и по Украине!",Бесплатно,Полтава - 08 июня 2022 г.
